Run order,Stage,Journey ID,Priority,Automation,Tier,Phase,Manual test,Exact manual steps,Expected result,Automated test exists,What remains manual,Result (PASS/FAIL/BLOCKED/NOT RUN),Tester,Run date,Evidence path or URL,Defect link,Notes
173,F,143,P1,PARTIAL,Both,11 Settings privacy licensing and updates,Update channel persists,Toggle nightly builds then relaunch,The selected stable or beta channel remains selected and checks that channel,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Packaged build only
174,F,144,P0,PARTIAL,Both,12 Resilience and desktop polish,Local use works offline,Disable network after required models are installed,Chat image OCR replay search dictation and vault remain local; network features fail clearly,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
175,F,145,P0,PROVEN,Both,12 Resilience and desktop polish,Cold relaunch after forced quit,Force quit during non-destructive activity then reopen,The app boots without a white screen or permanently busy state and committed data remains,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
176,F,146,P1,PARTIAL,Both,12 Resilience and desktop polish,Model ports are single-owner,Start one app instance then attempt a second development or capture instance,The conflict is diagnosed clearly and does not masquerade as model corruption,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Do not use this as a normal two-instance workflow
177,F,147,P0,PARTIAL,Both,12 Resilience and desktop polish,Engine restart recovers,Restart the local model engine while chat is open,Requests wait or fail clearly; the next request succeeds after health returns,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
178,F,148,P0,PARTIAL,Both,12 Resilience and desktop polish,Low disk space is handled,Use a safe disposable low-space volume for downloads and artifacts,Failures are contained and explained; existing data remains readable,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
179,F,149,P1,PARTIAL,Both,12 Resilience and desktop polish,Large seeded collections stay usable,Seed many models chats entities clipboard items and observations,Grids lists filters and detail panels remain responsive and dense,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Synthetic data only
180,F,150,P1,PROVEN,Both,12 Resilience and desktop polish,Window resize preserves desktop layout,Resize from a normal laptop window to a wide desktop window,Collections gain columns and sticky context remains usable; no mobile-style stretched rows,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
181,F,151,P1,PROVEN,Both,12 Resilience and desktop polish,Keyboard focus is visible,Tab through navigation forms dialogs and primary actions,Focus order is logical and a visible focus treatment is present,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
182,F,152,P2,PARTIAL,Both,12 Resilience and desktop polish,Escape closes transient UI,Open modals lightboxes menus and slide-over panels then press Escape,Only the top transient layer closes and underlying state is preserved,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
183,F,153,P2,PARTIAL,Both,12 Resilience and desktop polish,Reduced motion remains usable,Enable Reduce Motion in macOS and exercise panels and modals,Content remains reachable and transitions do not block interaction,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
184,F,154,P1,PARTIAL,Both,12 Resilience and desktop polish,External links use the system browser,Open purchase help and project links from the app,The expected HTTPS page opens externally and the Electron view does not navigate away,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
185,F,155,P0,PARTIAL,Both,12 Resilience and desktop polish,No private data in release evidence,Review screenshots videos logs and seeded profiles used for QA,Every publishable artifact contains synthetic data only,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Release blocker
186,F,NR-12,P0,PROVEN,Both,16 Security and network boundaries,Gateway is loopback-only or explicitly authenticated,"With the app running, probe every gateway route from localhost and a second LAN device across Wi-Fi/Ethernet and firewall changes.","Non-loopback access is rejected, or intentional LAN access has explicit authentication, disclosure, and a tested threat model; docs match the bind behavior.",Yes,Confirm the installed 0.0.40 app remains unreachable from a second LAN device across Wi-Fi and Ethernet changes.,NOT RUN,,,,,P0 network exposure is fixed; retain the installed-device probe as release evidence.
187,F,NR-13,P0,PROVEN,Both,16 Security and network boundaries,OAuth callbacks enforce exact state and lifecycle,"Exercise correct, absent, wrong, and replayed state; cancel/error; timeout; two concurrent flows; callback-port collision; and quit/relaunch.","Only the exact pending state can receive tokens; every invalid, stale, replayed, or unrelated callback fails closed without persisting credentials.",Yes,Confirm the same callback lifecycle once with a real system browser and OAuth provider on the installed 0.0.40 app.,NOT RUN,,,,,P0 callback-state admission is fixed; retain one real-provider pass as release evidence.
188,F,NR-14,P0,NONE,Both,16 Security and network boundaries,Local-only product journeys create no undeclared egress,"Run chat, OCR, image, audio, capture, entity, search, and vault journeys behind packet capture with downloads, updates, licensing, and connectors idle.",No DNS or network egress occurs except an action the tester explicitly initiates and the UI clearly identifies.,No,Inspect DNS and network traffic for all local feature families on the release build.,NOT RUN,,,,,Privacy claim release blocker.
189,F,NR-15,P0,PARTIAL,Both,16 Security and network boundaries,Diagnostics are useful and redact every private payload,"Inject synthetic bearer tokens, API keys, passwords, prompts, filenames, transcripts, connector data, and helper failures; inspect active and rotated logs plus Console output and file permissions.","Secrets and business payloads are absent, log files remain private and bounded, and each failure still has a readable operation, state, duration, and safe reason.",Yes,"Inspect real helper stderr, all Core/Pro business flows, Console, and rotated files in the installed app.",NOT RUN,,,,,Use synthetic secrets only.
190,F,NR-24,P1,PARTIAL,Both,16 Security and network boundaries,Connector credential revocation and deletion are complete,"Complete OAuth, inspect profile/database/logs for plaintext tokens, revoke remotely, delete the connector, restart, then reconnect.","Tokens remain encrypted and redacted, revocation becomes an actionable error, deletion removes every owned secret, and deleted credentials never return silently.",Yes,"Use a real OAuth provider, macOS protected storage, remote revocation, and reconnect.",NOT RUN,,,,,Use a disposable provider account.
191,F,NR-25,P1,PARTIAL,Both,16 Security and network boundaries,Network middleboxes fail without corrupting local state,"Exercise proxy, VPN, captive portal, DNS failure, and TLS interception for downloads, connectors, licensing, and updates while also using local features.","Local features remain usable, each network failure is specific, retries do not duplicate or leak state, and no insecure TLS fallback occurs.",Yes,Use real proxy/VPN/captive/DNS/TLS conditions and provider endpoints.,NOT RUN,,,,,Never install an untrusted root on a primary machine.
192,F,NR-27,P1,NONE,Both,17 Accessibility and desktop environment,VoiceOver can complete critical journeys,"Use VoiceOver for onboarding, model installation, chat, connector approval, Settings, destructive confirmations, and every Pro navigation surface.","Controls have useful names/roles, status changes announce, reading order is logical, dialogs trap and restore focus, and critical actions are possible without sight.",No,Perform a real VoiceOver pass on the installed app.,NOT RUN,,,,,Record blockers by surface.
193,F,NR-28,P2,PARTIAL,Both,17 Accessibility and desktop environment,Native app-window lifecycle follows macOS conventions,"Exercise Cmd+W, Cmd+Q, Cmd+H, Dock reopen, app activation with no windows, About, Settings, and reopening after the last window closes.","Window and process lifecycle are consistent, data is committed, the app can be reopened, and no unintended background capture or model process remains.",Yes,"Use macOS menu, Dock, keyboard, Activity Monitor, indicators, and ports.",NOT RUN,,,,,Also run the P0 clean-shutdown row below.
194,F,NR-29,P2,PARTIAL,Both,17 Accessibility and desktop environment,"macOS contrast, transparency, keyboard, and zoom settings remain usable","Enable Increase Contrast, Reduce Transparency, Full Keyboard Access, and supported text/page zoom across dense lists, dialogs, charts, and side panels.","Text, focus, controls, and hierarchy remain legible; no clipping, hidden actions, translucent blanks, or unreachable content appears.",Yes,Inspect pixels and keyboard access under each macOS setting.,NOT RUN,,,,,Test light and dark appearance.
195,F,NR-32,P2,NONE,Both,17 Accessibility and desktop environment,Window returns on-screen after display topology changes,"Place the app and transient windows on an external display, disconnect it, change clamshell state, relaunch, and reopen dialogs/popups.","Every window returns on-screen with sensible size, focus, stacking, and no invisible modal or lost popup.",No,Use a real external display and clamshell transitions.,NOT RUN,,,,,Check dictation and clipboard popup windows too.
196,F,NR-33,P3,PARTIAL,Both,18 P3 compatibility,Unicode and space-containing paths work,Install and run from paths containing spaces and use a disposable macOS account with a non-ASCII username; download/import models and create logs/artifacts.,"Models, helpers, logs, database, updates, exports, and native processes work without shell-escaping or path-encoding failures.",Yes,Run under a real Unicode account/home path.,NOT RUN,,,,,First explicit P3 compatibility case.
197,F,NR-34,P3,PARTIAL,Both,18 P3 compatibility,"Timezone, locale clock, and DST changes preserve chronology","Change timezone and 12/24-hour preference while running; use synthetic timestamps around a DST boundary; inspect meetings, capture, Day, retention, and filenames.","Absolute order and retention remain correct, labels update truthfully, and no event is duplicated, skipped, or assigned to the wrong day.",Yes,Exercise actual timezone and locale changes with the installed app.,NOT RUN,,,,,Use synthetic data only.
198,F,NR-35,P3,PARTIAL,Both,18 P3 compatibility,Live light/dark appearance changes keep every layer legible,"Switch macOS appearance while dialogs, menus, lightboxes, side panels, native prompts, and popup windows are open.","Theme, title bar, focus, icons, contrast, overlays, and native integration update without restart, blank content, or unreadable combinations.",Yes,Inspect every window and transient layer during real macOS appearance changes.,NOT RUN,,,,,P3 visual compatibility.
199,G,94,P0,PARTIAL,Pro,7 Capture memory and replay,Delete all removes capture corpus,Seed capture observations frames entities and replay data then use Delete all my data,Search Day Entities and Replay are empty after completion and relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; use synthetic data
200,G,134,P0,PARTIAL,Both,11 Settings privacy licensing and updates,Clear cache preserves user data,Use the cache cleanup control then reopen the app,Ephemeral cache is removed while chats projects models and vault remain,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
201,G,135,P0,PARTIAL,Both,11 Settings privacy licensing and updates,Delete category is scoped,Delete one selected personal-data category,Only that category disappears; unrelated stores and credentials remain unless explicitly included,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Use synthetic data
202,G,136,P0,PARTIAL,Both,11 Settings privacy licensing and updates,Delete all is complete,Connect a test connector and seed core and Pro personal stores; run Delete all my data,Chats projects memory captures clipboard recordings connector tokens and personal rows are gone after relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Release blocker; use synthetic data only
203,G,NR-06,P0,PARTIAL,Both,"14 Updates, migration, and recovery",Published-feed upgrade preserves Core and Pro state,"Upgrade through the real stable feed from the previous stable locked Core state and a previous Pro-entitled state, then restart into 0.0.40.","Chats, projects, models, settings, permissions, encrypted data, Pro stores, and entitlement remain intact and the new version is running.",Yes,"Join them through the real CDN/feed, signed ZIP, OS restart, Keychain, and installed application.",NOT RUN,,,,,Run both locked and entitled upgrade fixtures.
204,G,NR-07,P0,PARTIAL,Both,"14 Updates, migration, and recovery",Complete legacy profiles migrate without silent omission,"Back up and upgrade representative full profiles containing encrypted DB data, license cache, OAuth tokens, models, chats, projects, captures, entities, meetings, clipboard, and vault data.","No onboarding reset, Keychain loss, duplicate records, missing category, or cross-tier activation occurs; all data owners reopen correctly.",Yes,Upgrade complete real prior-version profiles through the installed artifact and macOS Keychain.,NOT RUN,,,,,Use backed-up synthetic profiles.
205,G,NR-08,P0,PARTIAL,Both,"14 Updates, migration, and recovery",Interrupted migration is recoverable and idempotent,"Terminate the app at controlled points during schema migration, then relaunch repeatedly against a backed-up disposable legacy profile.","The prior profile remains usable or is restored safely; retry completes once with no partial schema, duplicate records, or destructive loop.",Yes,Repeat with literal process termination during migration against a backed-up installed legacy profile.,NOT RUN,,,,,Release blocker for destructive migration failures.
206,G,NR-16,P0,PARTIAL,Pro,"14 Updates, migration, and recovery",Force quit during native collection reconciles partial work,"Force quit or simulate power loss during meeting recording, dictation, capture write, and transcription; relaunch and inspect data and processes.","Partial media is recovered or clearly marked, orphan helpers are adopted or stopped, no recording restarts silently, and finalized records are neither lost nor duplicated.",Yes,Kill the actual installed process during physical audio/capture and inspect filesystem durability.,NOT RUN,,,,,Use synthetic media.
207,G,NR-18,P1,PARTIAL,Both,"14 Updates, migration, and recovery",Stable and beta channel transitions select safe artifacts,"Switch stable to beta and beta to stable across versions, including any allowDowngrade path; check feed URL, offered version, restart, and schema compatibility.","The app selects only the chosen channel, never applies an unsafe downgrade, and preserves data and channel choice after restart.",Yes,Exercise published stable/beta feeds and real version ordering with signed artifacts.,NOT RUN,,,,,Never use real personal data for downgrade testing.
208,G,NR-19,P1,PARTIAL,Both,"14 Updates, migration, and recovery",Interrupted update download leaves a launchable app,"During an update download, cut network, fill a disposable volume, quit, and retry; inspect prompts, cache, current installation, and subsequent update.","The current app stays launchable, partial data is cleaned or safely resumed, retries do not loop or duplicate, and no install runs without approval.",Yes,"Exercise Electron updater cache, real network interruption, and disk pressure.",NOT RUN,,,,,Use a disposable low-space target.
209,G,NR-20,P1,PARTIAL,Both,"14 Updates, migration, and recovery",Uninstall and reinstall follow the documented data policy,"Remove only the app bundle and reinstall, then separately run Delete All before reinstall; inspect userData, Keychain, connector secrets, license state, and personal records.",Bundle-only uninstall retains data as documented; explicit Delete All prevents personal data or credentials from reappearing after reinstall.,Yes,"Perform actual bundle removal, reinstall, and Keychain/userData inspection.",NOT RUN,,,,,Back up any non-disposable profile first.
210,G,NR-30,P2,PARTIAL,Both,"14 Updates, migration, and recovery",Diagnostics failure and rotation do not destabilize the app,Make the diagnostics directory unwritable and use a disposable full volume while producing enough synthetic events to rotate logs.,"The app continues safely, reports diagnostics failure without recursion, keeps bounded storage, and does not lose unrelated product data.",Yes,"Exercise actual filesystem permissions, rotation, and full-disk behavior.",NOT RUN,,,,,Use disposable storage only.
